method,attack,n_clients,n_byzantine,n_rounds,threshold,data_dist,final_accuracy,avg_accuracy,defense_rate,avg_latency_ms
FedAvg,sign_flip,10,3,50,0.5,iid,0.9736842105263158,0.9736842105263157,0.0,16.8599271774292
FedAvg,label_flip,10,3,50,0.5,iid,0.9736842105263158,0.9736842105263157,0.0,17.731471061706543
FedAvg,gaussian_noise,10,3,50,0.5,iid,0.9824561403508771,0.9673684210526315,0.0,16.42897129058838
Krum,sign_flip,10,3,50,0.5,iid,0.9649122807017544,0.9649122807017544,1.0,14.503355026245117
Krum,label_flip,10,3,50,0.5,iid,0.9649122807017544,0.9649122807017544,1.0,16.471171379089355
Krum,gaussian_noise,10,3,50,0.5,iid,0.9649122807017544,0.9649122807017544,1.0,14.220576286315918
MultiKrum,sign_flip,10,3,50,0.5,iid,0.9824561403508771,0.982456140350877,1.0,16.073226928710938
MultiKrum,label_flip,10,3,50,0.5,iid,0.9824561403508771,0.982456140350877,1.0,18.464174270629883
MultiKrum,gaussian_noise,10,3,50,0.5,iid,0.9824561403508771,0.982456140350877,1.0,16.018805503845215
TrimmedMean,sign_flip,10,3,50,0.5,iid,0.9035087719298246,0.9035087719298245,0.0,16.650524139404297
TrimmedMean,label_flip,10,3,50,0.5,iid,0.9035087719298246,0.9035087719298245,0.0,17.292404174804688
TrimmedMean,gaussian_noise,10,3,50,0.5,iid,0.9210526315789473,0.9138596491228068,0.0,16.855287551879883
PoEx,sign_flip,10,3,50,0.5,iid,0.9736842105263158,0.9736842105263157,0.0,17.371878623962402
PoEx,label_flip,10,3,50,0.5,iid,0.9736842105263158,0.9736842105263157,0.0,18.027420043945312
PoEx,gaussian_noise,10,3,50,0.5,iid,0.9824561403508771,0.9654385964912281,0.0,17.04348087310791
PoEx,sign_flip,10,3,50,0.1,iid,0.9736842105263158,0.9736842105263157,0.0,17.88839340209961
PoEx,sign_flip,10,3,50,0.3,iid,0.9736842105263158,0.9736842105263157,0.0,17.154006958007812
PoEx,sign_flip,10,3,50,0.5,iid,0.9736842105263158,0.9736842105263157,0.0,17.573070526123047
PoEx,sign_flip,10,3,50,0.7,iid,0.9736842105263158,0.9736842105263157,0.0,17.13602066040039
PoEx,sign_flip,10,3,50,0.9,iid,0.9736842105263158,0.9736842105263157,0.0,16.94507122039795
PoEx,sign_flip,10,1,50,N/A,iid,0.9824561403508771,0.982456140350877,0.0,16.62174701690674
PoEx,sign_flip,10,2,50,N/A,iid,0.9649122807017544,0.9649122807017544,0.0,17.988409996032715
PoEx,sign_flip,10,3,50,N/A,iid,0.9736842105263158,0.9736842105263157,0.0,17.53974437713623
PoEx,sign_flip,10,4,50,N/A,iid,0.956140350877193,0.9561403508771928,0.0,17.72864818572998
FedAvg,sign_flip,10,3,50,N/A,non_iid,0.9831932773109243,0.9831932773109243,0.0,8.75699520111084
PoEx,sign_flip,10,3,50,N/A,non_iid,0.875968992248062,0.8759689922480619,0.0,16.261544227600098
FedAvg,adaptive,10,3,50,N/A,iid,0.9736842105263158,0.9742105263157894,0.0,15.91059684753418
Krum,adaptive,10,3,50,N/A,iid,0.9649122807017544,0.9649122807017544,1.0,13.92158031463623
TrimmedMean,adaptive,10,3,50,N/A,iid,0.9122807017543859,0.911578947368421,0.0,17.03500747680664
PoEx,adaptive,10,3,50,N/A,iid,0.9736842105263158,0.9743859649122807,0.0,16.59684181213379
