method,attack,dataset,n_clients,n_byzantine,threshold,final_accuracy,avg_accuracy,ci_95_low,ci_95_high,std,byzantine_bound
FedAvg,sign_flip,breast_cancer,10,3,0.5,0.9736842105263158,0.9736842105263156,0.9736842105263155,0.9736842105263157,2.220446049250313e-16,0.0
FedAvg,label_flip,breast_cancer,10,3,0.5,0.9736842105263158,0.9736842105263156,0.9736842105263155,0.9736842105263157,2.220446049250313e-16,0.0
FedAvg,gaussian_noise,breast_cancer,10,3,0.5,0.956140350877193,0.9675438596491226,0.963779622401374,0.9713080968968711,0.009911375003905444,0.0
Krum,sign_flip,breast_cancer,10,3,0.5,0.9649122807017544,0.9649122807017542,0.964912280701754,0.9649122807017543,2.220446049250313e-16,0.35
Krum,label_flip,breast_cancer,10,3,0.5,0.9649122807017544,0.9649122807017542,0.964912280701754,0.9649122807017543,2.220446049250313e-16,0.35
Krum,gaussian_noise,breast_cancer,10,3,0.5,0.9649122807017544,0.9649122807017542,0.964912280701754,0.9649122807017543,2.220446049250313e-16,0.35
MultiKrum,sign_flip,breast_cancer,10,3,0.5,0.9824561403508771,0.982456140350877,0.982456140350877,0.982456140350877,1.1102230246251565e-16,0.35
MultiKrum,label_flip,breast_cancer,10,3,0.5,0.9824561403508771,0.982456140350877,0.982456140350877,0.982456140350877,1.1102230246251565e-16,0.35
MultiKrum,gaussian_noise,breast_cancer,10,3,0.5,0.9824561403508771,0.982456140350877,0.982456140350877,0.982456140350877,1.1102230246251565e-16,0.35
TrimmedMean,sign_flip,breast_cancer,10,3,0.5,0.9736842105263158,0.9736842105263156,0.9736842105263155,0.9736842105263157,2.220446049250313e-16,0.45
TrimmedMean,label_flip,breast_cancer,10,3,0.5,0.9736842105263158,0.9736842105263156,0.9736842105263155,0.9736842105263157,2.220446049250313e-16,0.45
TrimmedMean,gaussian_noise,breast_cancer,10,3,0.5,0.9736842105263158,0.9710526315789473,0.9691005578660888,0.9730047052918057,0.005139881822002038,0.45
Bulyan,sign_flip,breast_cancer,10,3,0.5,0.9736842105263158,0.9736842105263156,0.9736842105263155,0.9736842105263157,2.220446049250313e-16,0.175
Bulyan,label_flip,breast_cancer,10,3,0.5,0.9736842105263158,0.9736842105263156,0.9736842105263155,0.9736842105263157,2.220446049250313e-16,0.175
