run_id,method,attack_type,malicious_ratio,malicious_clients,round,global_accuracy,avg_local_accuracy,avg_nsds
1,fedxchain,none,0.0,,1,0.8,0.633,0.2181826423876875
1,fedxchain,none,0.0,,2,0.77,0.6380000000000001,0.24383602082993433
1,fedxchain,none,0.0,,3,0.77,0.6529999999999999,0.19474039494490866
1,fedxchain,none,0.0,,4,0.765,0.634,0.1906268852382592
1,fedxchain,none,0.0,,5,0.78,0.623,0.20571126522819574
1,fedxchain,none,0.0,,6,0.815,0.6679999999999999,0.17011928511049046
1,fedxchain,none,0.0,,7,0.785,0.651,0.19392353708087567
1,fedxchain,none,0.0,,8,0.745,0.632,0.22736053660903321
1,fedxchain,none,0.0,,9,0.765,0.6329999999999999,0.24516907102668029
1,fedxchain,none,0.0,,10,0.82,0.634,0.24928377951082661
2,fedavg,none,0.0,,1,0.805,0.633,0.2181826423876875
2,fedavg,none,0.0,,2,0.795,0.639,0.23003502433993198
2,fedavg,none,0.0,,3,0.795,0.6460000000000001,0.18791678925416522
2,fedavg,none,0.0,,4,0.775,0.626,0.3816275346883181
2,fedavg,none,0.0,,5,0.81,0.641,0.20764036233645305
2,fedavg,none,0.0,,6,0.745,0.643,0.21993427735099536
2,fedavg,none,0.0,,7,0.785,0.637,0.25672550311771614
2,fedavg,none,0.0,,8,0.755,0.624,0.2835772591085658
2,fedavg,none,0.0,,9,0.82,0.634,0.2896685858040202
2,fedavg,none,0.0,,10,0.775,0.646,0.17674633530529688
3,fedxchain,sign_flip,0.0,0,1,0.76,0.633,0.2181826423876875
3,fedxchain,sign_flip,0.0,0,2,0.735,0.617,0.20065435345624252
3,fedxchain,sign_flip,0.0,0,3,0.685,0.628,0.21415922860822403
3,fedxchain,sign_flip,0.0,0,4,0.755,0.6320000000000001,0.28911623819077786
3,fedxchain,sign_flip,0.0,0,5,0.73,0.622,0.21101707556385935
3,fedxchain,sign_flip,0.0,0,6,0.735,0.6199999999999999,0.2341317361737781
3,fedxchain,sign_flip,0.0,0,7,0.74,0.6159999999999999,0.19512288993961385
3,fedxchain,sign_flip,0.0,0,8,0.715,0.6199999999999999,0.21045159102000427
3,fedxchain,sign_flip,0.0,0,9,0.71,0.625,0.27827210937892055
3,fedxchain,sign_flip,0.0,0,10,0.675,0.635,0.2852913822726181
1,fedxchain,label_flip,0.0,1,1,0.675,0.543,0.16692617004532884
1,fedxchain,label_flip,0.0,1,2,0.64,0.541,0.21361513203267485
1,fedxchain,label_flip,0.0,1,3,0.665,0.5469999999999999,0.20864434293756182
1,fedxchain,gaussian_noise,0.0,1,1,0.795,0.633,0.17928254157091997
1,fedxchain,gaussian_noise,0.0,1,2,0.775,0.639,0.17822044637035733
1,fedxchain,gaussian_noise,0.0,1,3,0.765,0.647,0.16077534846623445
1,fedxchain,label_flip,0.0,1,1,0.675,0.543,0.16692617004532884
1,fedxchain,label_flip,0.0,1,2,0.64,0.541,0.21361513203267485
1,fedxchain,label_flip,0.0,1,3,0.665,0.547,0.20864434293740727
1,fedxchain,label_flip,0.0,1,1,0.675,0.543,0.16692617004532884
1,fedxchain,label_flip,0.0,1,2,0.64,0.541,0.21361513203267485
1,fedxchain,label_flip,0.0,1,3,0.665,0.547,0.20864434293740727
