rounds,global_accuracy_mean,global_accuracy_std,global_accuracy_ci_low,global_accuracy_ci_high,global_f1_mean,global_f1_std,avg_nsds_mean,avg_nsds_std,avg_nsds_ci_low,avg_nsds_ci_high
1,0.96,0.006236095644623249,0.9513429113859702,0.9686570886140298,0.9599000271229032,0.006180602724284207,0.0,0.0,,
2,0.9433333333333334,0.030912061651652327,0.900420512201182,0.9862461544654847,0.9433431046513613,0.030674900063086426,0.5446639271041478,0.10528345743325154,0.3985070570797218,0.6908207971285738
3,0.9583333333333333,0.0197202659436654,0.930957215407089,0.9857094512595775,0.9583092943840661,0.019680275719420392,1.3025697561785126,1.524942113605124,-0.8143892773359533,3.4195287896929782
4,0.9483333333333335,0.022607766610417565,0.9169487218608594,0.9797179448058075,0.948145099923306,0.022698035759951943,0.6938543645744969,0.3745816176050188,0.17385171522623277,1.2138570139227611
5,0.9616666666666667,0.017159383568311686,0.9378456234084414,0.985487709924892,0.9616100463121686,0.01720393388259189,0.47202691387758416,0.1250780248981923,0.2983907788793869,0.6456630488757814
6,0.9550000000000001,0.02147349787787521,0.9251900059627491,0.984809994037251,0.9549224083385844,0.021389174494241887,0.5577202521577876,0.20604913553648033,0.2716781952625384,0.8437623090530368
7,0.9533333333333334,0.018708286933869687,0.9273620674912442,0.9793045991754226,0.9533497254586427,0.018639756196862207,0.42363461922152823,0.10066981346553641,0.2838825138027462,0.5633867246403103
8,0.9683333333333334,0.013333333333333315,0.9498236992986814,0.9868429673679854,0.9682981617095997,0.013329877885561663,0.6610390120978338,0.542317205568253,-0.09181796333442838,1.413895987530096
9,0.9516666666666668,0.01699673171197593,0.9280714203836289,0.9752619129497047,0.9515547019964063,0.017131679630313625,0.5160198544429705,0.1775265559498978,0.2695734857881121,0.762466223097829
10,0.9650000000000001,0.016996731711975955,0.9414047537169622,0.988595246283038,0.9649526117056547,0.016961143079308766,0.576788956051536,0.18027724668933834,0.3265240164769612,0.8270538956261109
