rounds,global_accuracy_mean,global_accuracy_std,global_accuracy_ci_low,global_accuracy_ci_high,global_f1_mean,global_f1_std,avg_nsds_mean,avg_nsds_std,avg_nsds_ci_low,avg_nsds_ci_high
1,0.833,0.04190465367951391,0.7748270147032523,0.8911729852967476,0.8327214315898281,0.04197088617029867,0.0,0.0,,
2,0.7769999999999999,0.08755569655939013,0.6554532074277487,0.8985467925722511,0.7761954837143306,0.08871583246314724,0.454184288657378,0.16565275228612486,0.22422140203370056,0.6841471752810554
3,0.773,0.08997777503361594,0.6480908234656642,0.8979091765343359,0.7726390203963982,0.09020816801258247,0.4206705333947219,0.24626916311853733,0.07879412714391132,0.7625469396455324
4,0.7869999999999999,0.06675327707311451,0.6943315953072193,0.8796684046927805,0.7865971876758392,0.06691592320613818,0.42201988817250974,0.1844099993032301,0.16601776821501846,0.678022008130001
5,0.751,0.1321892582625381,0.5674918904686241,0.9345081095313759,0.7507867406415951,0.13211642496540257,0.4658711853055467,0.17346227323132402,0.22506694558075035,0.7066754250303431
6,0.756,0.0999699954986495,0.6172193976655643,0.8947806023344357,0.7556731574277704,0.09997513325572653,0.6756603556300217,0.55288585831919,-0.09186826190167752,1.443188973161721
7,0.7959999999999999,0.07344385610791414,0.694043582601165,0.8979564173988348,0.7951887431834941,0.0746121710246934,0.488841660784627,0.2752827314931713,0.1066879645847793,0.8709953569844746
8,0.7540000000000001,0.13499629624548962,0.5665950970346894,0.9414049029653109,0.7534563670751794,0.13527141038834356,0.5166840714687992,0.28869996083897514,0.11590427489771488,0.9174638680398837
9,0.7620000000000001,0.08115417426109395,0.6493399450532084,0.8746600549467919,0.7614033348767386,0.0818421514226288,0.7791089364285876,0.4537093363396174,0.1492594033972513,1.408958469459924
10,0.7740000000000001,0.10707007051459341,0.6253629134032871,0.9226370865967132,0.77360468047179,0.10764250397592957,0.3617668023174719,0.09235766521665131,0.23355380855833763,0.48997979607660613
